Noise_Rate,Seed,Epoch,Quantum_Acc,David_Acc,Goliath_Acc
0.005,0,2,0.5160,0.4900,0.6380
0.005,0,3,0.4860,0.5980,0.5100
0.005,0,4,0.6800,0.6060,0.6720
0.005,1,0,0.4860,0.6620,0.5020
0.005,1,1,0.6300,0.5760,0.6300
0.005,1,2,0.6280,0.6220,0.6980
0.005,1,3,0.7500,0.6780,0.6580
0.005,1,4,0.7140,0.6440,0.7740
0.005,2,0,0.5620,0.6460,0.5020
0.005,2,1,0.6380,0.4900,0.6280
0.005,2,2,0.5240,0.5320,0.6740
0.005,2,3,0.6720,0.5540,0.6620
0.005,2,4,0.6580,0.4880,0.6520
0.005,3,0,0.5420,0.6560,0.6160
0.005,3,1,0.5100,0.4680,0.6420
0.005,3,2,0.5640,0.4680,0.7100
0.005,3,3,0.5840,0.6920,0.6640
0.005,3,4,0.6040,0.6760,0.7100
0.005,4,0,0.4640,0.5340,0.5100
0.005,4,1,0.4760,0.5440,0.4780
0.005,4,2,0.4700,0.5100,0.7080
0.005,4,3,0.5660,0.6480,0.6680
0.005,4,4,0.6000,0.6580,0.6080
0.005,5,0,0.7080,0.7020,0.5760
0.005,5,1,0.4740,0.5880,0.4760
0.005,5,2,0.7220,0.6200,0.6260
0.005,5,3,0.6300,0.6260,0.7600
0.005,5,4,0.6400,0.6460,0.5240
0.005,6,0,0.5420,0.5280,0.5540
0.005,6,1,0.5080,0.5180,0.5560
0.005,6,2,0.5780,0.5880,0.6160
0.005,6,3,0.6180,0.6180,0.6640
0.005,6,4,0.6120,0.6460,0.6840
0.005,7,0,0.4740,0.4720,0.4860
0.005,7,1,0.5840,0.5500,0.5880
0.005,7,2,0.5940,0.5700,0.6560
0.005,7,3,0.6480,0.5980,0.6840
0.005,7,4,0.6760,0.6480,0.5920
0.005,8,0,0.5380,0.5420,0.5380
0.005,8,1,0.4720,0.4680,0.4740
0.005,8,2,0.5920,0.5300,0.6380
0.005,8,3,0.5980,0.5020,0.7620
0.005,8,4,0.5720,0.5020,0.7560
0.005,9,0,0.5220,0.5360,0.5560
0.005,9,1,0.5680,0.5320,0.6560
0.005,9,2,0.4680,0.4840,0.4700
0.005,9,3,0.5260,0.5380,0.7640
0.005,9,4,0.6420,0.5860,0.7380
0.01,0,0,0.4640,0.5920,0.5240
0.01,0,1,0.4700,0.4800,0.5220
0.01,0,2,0.5080,0.4900,0.6380
0.01,0,3,0.4940,0.5980,0.5100
0.01,0,4,0.6300,0.6060,0.6720
0.01,1,0,0.6320,0.6620,0.5020
0.01,1,1,0.6440,0.5760,0.6300
0.01,1,2,0.6560,0.6220,0.6980
0.01,1,3,0.5860,0.6780,0.6580
0.01,1,4,0.6120,0.6440,0.7740
0.01,2,0,0.6100,0.6460,0.5020
0.01,2,1,0.6240,0.4900,0.6280
0.01,2,2,0.6620,0.5320,0.6740
0.01,2,3,0.6880,0.5540,0.6620
0.01,2,4,0.6400,0.4880,0.6520
0.01,3,0,0.5580,0.6560,0.6160
0.01,3,1,0.4960,0.4680,0.6420
0.01,3,2,0.4840,0.4680,0.7100
0.01,3,3,0.5200,0.6920,0.6640
0.01,3,4,0.6240,0.6760,0.7100
0.01,4,0,0.4980,0.5340,0.5100
0.01,4,1,0.4760,0.5440,0.4780
0.01,4,2,0.4920,0.5100,0.7080
0.01,4,3,0.5860,0.6480,0.6680
0.01,4,4,0.6260,0.6580,0.6080
0.01,5,0,0.6460,0.7020,0.5760
0.01,5,1,0.4840,0.5880,0.4760
0.01,5,2,0.6300,0.6200,0.6260
0.01,5,3,0.6360,0.6260,0.7600
0.01,5,4,0.6240,0.6460,0.5240
0.01,6,0,0.4660,0.5280,0.5540
0.01,6,1,0.4780,0.5180,0.5560
0.01,6,2,0.6280,0.5880,0.6160
0.01,6,3,0.6100,0.6180,0.6640
0.01,6,4,0.6440,0.6460,0.6840
0.01,7,0,0.4720,0.4720,0.4860
0.01,7,1,0.5520,0.5500,0.5880
0.01,7,2,0.5040,0.5700,0.6560
0.01,7,3,0.6000,0.5980,0.6840
0.01,7,4,0.6440,0.6480,0.5920
0.01,8,0,0.5360,0.5420,0.5380
0.01,8,1,0.4680,0.4680,0.4740
0.01,8,2,0.6240,0.5300,0.6380
0.01,8,3,0.6600,0.5020,0.7620
0.01,8,4,0.7180,0.5020,0.7560
0.01,9,0,0.5300,0.5360,0.5560
0.01,9,1,0.4960,0.5320,0.6560
0.01,9,2,0.5140,0.4840,0.4700
0.01,9,3,0.5220,0.5380,0.7640
0.01,9,4,0.5020,0.5860,0.7380
0.05,0,0,0.5720,0.5920,0.5240
0.05,0,1,0.4640,0.4800,0.5220
0.05,0,2,0.4760,0.4900,0.6380
0.05,0,3,0.5100,0.5980,0.5100
0.05,0,4,0.5700,0.6060,0.6720
0.05,1,0,0.6000,0.6620,0.5020
0.05,1,1,0.5400,0.5760,0.6300
0.05,1,2,0.5480,0.6220,0.6980
0.05,1,3,0.5680,0.6780,0.6580
0.05,1,4,0.5980,0.6440,0.7740
0.05,2,0,0.6420,0.6460,0.5020
0.05,2,1,0.5300,0.4900,0.6280
0.05,2,2,0.5760,0.5320,0.6740
0.05,2,3,0.6240,0.5540,0.6620
0.05,2,4,0.6140,0.4880,0.6520
0.05,3,0,0.6940,0.6560,0.6160
0.05,3,1,0.4660,0.4680,0.6420
0.05,3,2,0.4680,0.4680,0.7100
0.05,3,3,0.5300,0.6920,0.6640
0.05,3,4,0.5200,0.6760,0.7100
0.05,4,0,0.5620,0.5340,0.5100
0.05,4,1,0.5080,0.5440,0.4780
0.05,4,2,0.4800,0.5100,0.7080
0.05,4,3,0.5580,0.6480,0.6680
0.05,4,4,0.5700,0.6580,0.6080
0.05,5,0,0.6840,0.7020,0.5760
0.05,5,1,0.5720,0.5880,0.4760
0.05,5,2,0.5660,0.6200,0.6260
0.05,5,3,0.6140,0.6260,0.7600
0.05,5,4,0.6000,0.6460,0.5240
0.05,6,0,0.5480,0.5280,0.5540
0.05,6,1,0.4960,0.5180,0.5560
0.05,6,2,0.5460,0.5880,0.6160
0.05,6,3,0.5520,0.6180,0.6640
0.05,6,4,0.5680,0.6460,0.6840
0.05,7,0,0.6200,0.4720,0.4860
0.05,7,1,0.4840,0.5500,0.5880
0.05,7,2,0.4980,0.5700,0.6560
0.05,7,3,0.5540,0.5980,0.6840
0.05,7,4,0.5140,0.6480,0.5920
0.05,8,0,0.5320,0.5420,0.5380
0.05,8,1,0.4740,0.4680,0.4740
0.05,8,2,0.5500,0.5300,0.6380
0.05,8,3,0.5740,0.5020,0.7620
0.05,8,4,0.6100,0.5020,0.7560
0.05,9,0,0.6480,0.5360,0.5560
0.05,9,1,0.5220,0.5320,0.6560
0.05,9,2,0.4960,0.4840,0.4700
0.05,9,3,0.5300,0.5380,0.7640
0.05,9,4,0.5640,0.5860,0.7380
